Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students	A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester	ABC News
There's been a Travis Kelce sighting at the World Series. No sign of Taylor Swift, though	There has been a Travis Kelce sighting at the World Series	ABC News
Taylor Swift fans want to know why Travis Kelce isn't in the Chiefs' latest TikTok	AN INVESTIGATION: The Chiefs are playing checkers while the Swifties are playing chess.	USA Today
Taylor Swift fan dies at Rio concert amid complaints about excessive heat	Swift posted in her Instagram stories after news of the fan's death writing she has "a shattered heart."	CBS News
Taylor Swift postpones Rio show over "extreme weather" after fan's death	Taylor Swift postponed a concert in Rio de Janeiro, Brazil, after a 23-year-old fan died during the Friday night show of Swift's Eras Tour.	CBS News
Taylor Swift, Travis Kelce's long distance romance has fans anticipating next rendezvous	Taylor Swift embarks on Brazilian leg of her Eras Tour this week through Thanksgiving, leaving little time for new romance with boyfriend Travis Kelce.	Fox News
Travis Kelce's Brother Highlights the Dark Side of Taylor Swift Romance	The media storm surrounding his brother and the behavior of the paparazzi is raising "alarms" for the football star's brother Jason Kelce.	Newsweek
Taylor Swift pleads with fans after item is thrown onstage during Eras Tour concert: ‘It really freaks me out’	After objects were thrown onstage, Taylor Swift politely asked her audience in Argentina to refrain, as it endangers her dancers and scares her.	Fox News
Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates	Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›	Buzzfeed
Video: Broncos Play Taylor Swift's 'Shake It Off' After Beating Travis Kelce, Chiefs	The Kansas City Chiefs need to shake off their 24-9 loss to the Denver Broncos Sunday. That's what the home team indicated with their postgame song choice.…	Bleacher Report
Taylor Swift embraced by Travis Kelce's Kansas City Chiefs crew: 'She's letting her guard down,' expert says	Taylor Swift has been welcomed like "family" into Travis Kelce's Kansas City Chiefs crew, according to a body language expert who analyzed the pop star's moves with her new friends.	Fox News
Taylor Swift postpones Rio show after a fan's death during her Friday night concert	Taylor Swift postpones Rio show after a fan's death during her Friday night concert	ABC News
SZA leads Grammy nominations, up for "Album of the Year" with Miley Cyrus, Taylor Swift and Janelle Monáe	The 66th Grammy Awards nominations have been announced and SZA tops the list with nods in nine categories. Joe Levy, a contributor editor for "Rolling Stone," joins CBS News with a look at the artists nominated.	CBS News
A Taylor Swift Airbnb is a bachelorette dream home where megafans can bask in her "Eras" for up to $1,400 a night	You can rent this Taylor Swift Airbnb in Scottsdale, Arizona. Each room is devoted to a different era, from "Reputation" to "Lover" to "Folklore."	Business Insider
Taylor Swift fan dies at Rio concert amid complaints about excessive heat	Swift posted in her Instagram stories after news of the fan's death writing she has "a shattered heart."	CBS News
Taylor Swift is still in her (Chiefs) Red era with latest appearance supporting Travis Kelce at football game | CNN	In a surprise to absolutely nobody, Taylor Swift was back in Kansas City on Sunday to support Travis Kelce at his football game.	CNN
USA Today hires a Taylor Swift reporter. Who is he?	Gannett, the biggest newspaper chain in the U.S., no longer has a blank space under the title of “Taylor Swift reporter.”	NBC News
Chiefs want to be ‘world’s team’ behind star power, Super Bowl success	Can the Chiefs rule the world? With championships, Patrick Mahomes, Travis Kelce — and Taylor Swift! — why not?	Fox Sports
Taylor Swift Went Out With A Large Group Of Famous Girlfriends, And It's Just Looking Worse And Worse For Joe Jonas	I imagine them doing some sort of Hocus Pocus hexing spell while eating the biggest ball of burrata you've ever seen.View Entire Post ›	Buzzfeed
'We Want More Football!!!': Rob Gronkowski Says Networks Overdoing Taylor Swift Coverage	Former Super Bowl champ Rob Gronkowski think that broadcast network's should focus less on Taylor Swift and more on the players on the field.	Breitbart News
CBS actually broke out a hilarious graphic about Travis Kelce's stats with Taylor Swift in attendance	Incredible work. No notes.	USA Today
Taylor Swift's dad (an Eagles fan!) wore a Chiefs lanyard while with Travis Kelce at the Eras Tour	Taylor Swift fans loved this. Eagles fans? Not so much.	USA Today
WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert	Video shows the singer and Chiefs’ tight end embracing each other after her show.	ABC News
Vancouver hotels rooms already sold out for Taylor Swift's 2024 concert dates	Vancouver is expecting an economic boon from Taylor Swift's 2024 concert dates, but Swifties are already finding hotel rooms sold out.	CBC News
Taylor Swift releases ‘1989 (Taylor’s Version)’ | CNN	Straight out of your “wildest dreams,” Taylor Swift just dropped “1989 (Taylor’s Version).”	CNN
A Ranking of Taylor Swift’s ‘From the Vault’ Songs	With each re-recorded album, Taylor Swift has also released songs that almost made the cut. Here are our favorite 'From the Vault' tracks.	Time
Travis Kelce's Stylist Responds to Taylor Swift Wardrobe Conspiracies	The Kansas City Chiefs star has worn clothes that look like Easter Eggs for Swift's fans. Were the nods to Swift's work intentional?	Newsweek
Taylor Swift secures Travis Kelce's dad's stamp of approval in glowing review: 'Very special'	Taylor Swift seemingly earned a stamp up of approval from new beau Travis Kelce's father. Ed Kelce shared insight into his relationship with the pop star in a new interview.	Fox News
A timeline of Taylor Swift and Travis Kelce's budding romance	A timeline of the speculated romantic link between Taylor Swift and Kansas City Chiefs football player Travis Kelce, beginning in July when Kelce attended a Swift concert.	Fox News
Fans speculate Travis Kelce keeps texting Taylor Swift during episodes of New Heights podcast	Honestly, if we could text Taylor Swift, we'd be doing it all the time, too.	USA Today
Will Taylor Swift show up to Chiefs - Eagles to cheer on Travis Kelce? 5 reasons the stars are aligning	Let's break down why Taylor Swift could make it happen on Monday.	USA Today
Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift	Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: "You know you're doing something right."	Fox Sports
Swift bests Scorsese at box office, but 'Killers of the Flower Moon" opens strongly	In a movie match-up almost as unlikely as “Barbie” and “Oppenheimer,” Martin Scorsese took on Taylor Swift in cinemas over the weekend	ABC News
Patrick Mahomes' mother gushes over Taylor Swift after pop star meets quarterback's little sister	The mother of Kansas City Chiefs quarterback Patrick Mahomes gushed over Taylor Swift on social media Monday as dating rumors between the pop star and Travis Kelce continue to heat up.	Fox News
Taylor Swift jokes about witchcraft, 'never beating the sorcery allegations' after crazy concert moment	Taylor Swift is poking fun at long-standing rumors that she is a witch, sharing a bizarre moment from her Argentina shows that points to that narrative.	Fox News
'It's refreshing': Wall Street analysts show they're Taylor Swift superfans too by riffing on her songs in their usually wonky research notes	Analysts are giving a nod to Swift’s reign at the pinnacle of pop culture by referencing her lyrics in their financial research.	Fortune
Taylor Swift Under Attack by MAGA Christians	A self-proclaimed prophet and Donald Trump fan claims the pop star has been doing the devil's work, along with Pfizer and rumored boyfriend Travis Kelce.	Newsweek
A Reporter Asked Travis Kelce The Status Of His Relationship With Taylor Swift, And Fans Love His Response	Travis is keeping his cards close to his chest.View Entire Post ›	Buzzfeed
Will Taylor Swift be at the Chiefs’ game in Germany? Travis Kelce wouldn’t say	Travis Kelce declined to discuss Taylor Swift’s status for the Chiefs' game Sunday in Germany — but left the door open.	Fox Sports
